MPG,Cylinders,Displacement100ci,Horsepower100,Weight1000lb,Seconds0to60,Year,Year70To81,Origin,GallonsPer100Miles
18,8,3.07,1.3,3.504,12,70,1,1,5.6
15,8,3.5,1.65,3.693,11.5,70,1,1,6.7
18,8,3.18,1.5,3.436,11,70,1,1,5.6
16,8,3.04,1.5,3.433,12,70,1,1,6.3
17,8,3.02,1.4,3.449,10.5,70,1,1,5.9
15,8,4.29,1.98,4.341,10,70,1,1,6.7
14,8,4.54,2.2,4.354,9,70,1,1,7.1
14,8,4.4,2.15,4.312,8.5,70,1,1,7.1
14,8,4.55,2.25,4.425,10,70,1,1,7.1
15,8,3.9,1.9,3.85,8.5,70,1,1,6.7
15,8,3.83,1.7,3.563,10,70,1,1,6.7
14,8,3.4,1.6,3.609,8,70,1,1,7.1
15,8,4,1.5,3.761,9.5,70,1,1,6.7
14,8,4.55,2.25,3.086,10,70,1,1,7.1
24,4,1.13,0.95,2.372,15,70,1,3,4.2
22,6,1.98,0.95,2.833,15.5,70,1,1,4.5
18,6,1.99,0.97,2.774,15.5,70,1,1,5.6
21,6,2,0.85,2.587,16,70,1,1,4.8
27,4,0.97,0.88,2.13,14.5,70,1,3,3.7
26,4,0.97,0.46,1.835,20.5,70,1,2,3.8
25,4,1.1,0.87,2.672,17.5,70,1,2,4
24,4,1.07,0.9,2.43,14.5,70,1,2,4.2
25,4,1.04,0.95,2.375,17.5,70,1,2,4
26,4,1.21,1.13,2.234,12.5,70,1,2,3.8
21,6,1.99,0.9,2.648,15,70,1,1,4.8
10,8,3.6,2.15,4.615,14,70,1,1,10
10,8,3.07,2,4.376,15,70,1,1,10
11,8,3.18,2.1,4.382,13.5,70,1,1,9.1
9,8,3.04,1.93,4.732,18.5,70,1,1,11.1
27,4,0.97,0.88,2.13,14.5,71,1,3,3.7
28,4,1.4,0.9,2.264,15.5,71,1,1,3.6
25,4,1.13,0.95,2.228,14,71,1,3,4
19,6,2.32,1,2.634,13,71,1,1,5.3
16,6,2.25,1.05,3.439,15.5,71,1,1,6.3
17,6,2.5,1,3.329,15.5,71,1,1,5.9
19,6,2.5,0.88,3.302,15.5,71,1,1,5.3
18,6,2.32,1,3.288,15.5,71,1,1,5.6
14,8,3.5,1.65,4.209,12,71,1,1,7.1
14,8,4,1.75,4.464,11.5,71,1,1,7.1
14,8,3.51,1.53,4.154,13.5,71,1,1,7.1
14,8,3.18,1.5,4.096,13,71,1,1,7.1
12,8,3.83,1.8,4.955,11.5,71,1,1,8.3
13,8,4,1.7,4.746,12,71,1,1,7.7
13,8,4,1.75,5.14,12,71,1,1,7.7
18,6,2.58,1.1,2.962,13.5,71,1,1,5.6
22,4,1.4,0.72,2.408,19,71,1,1,4.5
19,6,2.5,1,3.282,15,71,1,1,5.3
18,6,2.5,0.88,3.139,14.5,71,1,1,5.6
23,4,1.22,0.86,2.22,14,71,1,1,4.3
28,4,1.16,0.9,2.123,14,71,1,2,3.6
30,4,0.79,0.7,2.074,19.5,71,1,2,3.3
30,4,0.88,0.76,2.065,14.5,71,1,2,3.3
31,4,0.71,0.65,1.773,19,71,1,3,3.2
35,4,0.72,0.69,1.613,18,71,1,3,2.9
27,4,0.97,0.6,1.834,19,71,1,2,3.7
26,4,0.91,0.7,1.955,20.5,71,1,1,3.8
24,4,1.13,0.95,2.278,15.5,72,1,3,4.2
25,4,0.975,0.8,2.126,17,72,1,1,4
23,4,0.97,0.54,2.254,23.5,72,1,2,4.3
20,4,1.4,0.9,2.408,19.5,72,1,1,5
21,4,1.22,0.86,2.226,16.5,72,1,1,4.8
13,8,3.5,1.65,4.274,12,72,1,1,7.7
14,8,4,1.75,4.385,12,72,1,1,7.1
15,8,3.18,1.5,4.135,13.5,72,1,1,6.7
14,8,3.51,1.53,4.129,13,72,1,1,7.1
17,8,3.04,1.5,3.672,11.5,72,1,1,5.9
11,8,4.29,2.08,4.633,11,72,1,1,9.1
13,8,3.5,1.55,4.502,13.5,72,1,1,7.7
12,8,3.5,1.6,4.456,13.5,72,1,1,8.3
13,8,4,1.9,4.422,12.5,72,1,1,7.7
19,3,0.7,0.97,2.33,13.5,72,1,3,5.3
15,8,3.04,1.5,3.892,12.5,72,1,1,6.7
13,8,3.07,1.3,4.098,14,72,1,1,7.7
13,8,3.02,1.4,4.294,16,72,1,1,7.7
14,8,3.18,1.5,4.077,14,72,1,1,7.1
18,4,1.21,1.12,2.933,14.5,72,1,2,5.6
22,4,1.21,0.76,2.511,18,72,1,2,4.5
21,4,1.2,0.87,2.979,19.5,72,1,2,4.8
26,4,0.96,0.69,2.189,18,72,1,2,3.8
22,4,1.22,0.86,2.395,16,72,1,1,4.5
28,4,0.97,0.92,2.288,17,72,1,3,3.6
23,4,1.2,0.97,2.506,14.5,72,1,3,4.3
28,4,0.98,0.8,2.164,15,72,1,1,3.6
27,4,0.97,0.88,2.1,16.5,72,1,3,3.7
13,8,3.5,1.75,4.1,13,73,1,1,7.7
14,8,3.04,1.5,3.672,11.5,73,1,1,7.1
13,8,3.5,1.45,3.988,13,73,1,1,7.7
14,8,3.02,1.37,4.042,14.5,73,1,1,7.1
15,8,3.18,1.5,3.777,12.5,73,1,1,6.7
12,8,4.29,1.98,4.952,11.5,73,1,1,8.3
13,8,4,1.5,4.464,12,73,1,1,7.7
13,8,3.51,1.58,4.363,13,73,1,1,7.7
14,8,3.18,1.5,4.237,14.5,73,1,1,7.1
13,8,4.4,2.15,4.735,11,73,1,1,7.7
12,8,4.55,2.25,4.951,11,73,1,1,8.3
13,8,3.6,1.75,3.821,11,73,1,1,7.7
18,6,2.25,1.05,3.121,16.5,73,1,1,5.6
16,6,2.5,1,3.278,18,73,1,1,6.3
18,6,2.32,1,2.945,16,73,1,1,5.6
18,6,2.5,0.88,3.021,16.5,73,1,1,5.6
23,6,1.98,0.95,2.904,16,73,1,1,4.3
26,4,0.97,0.46,1.95,21,73,1,2,3.8
11,8,4,1.5,4.997,14,73,1,1,9.1
12,8,4,1.67,4.906,12.5,73,1,1,8.3
13,8,3.6,1.7,4.654,13,73,1,1,7.7
12,8,3.5,1.8,4.499,12.5,73,1,1,8.3
18,6,2.32,1,2.789,15,73,1,1,5.6
20,4,0.97,0.88,2.279,19,73,1,3,5
21,4,1.4,0.72,2.401,19.5,73,1,1,4.8
22,4,1.08,0.94,2.379,16.5,73,1,3,4.5
18,3,0.7,0.9,2.124,13.5,73,1,3,5.6
19,4,1.22,0.85,2.31,18.5,73,1,1,5.3
21,6,1.55,1.07,2.472,14,73,1,1,4.8
26,4,0.98,0.9,2.265,15.5,73,1,2,3.8
15,8,3.5,1.45,4.082,13,73,1,1,6.7
16,8,4,2.3,4.278,9.5,73,1,1,6.3
29,4,0.68,0.49,1.867,19.5,73,1,2,3.4
24,4,1.16,0.75,2.158,15.5,73,1,2,4.2
20,4,1.14,0.91,2.582,14,73,1,2,5
19,4,1.21,1.12,2.868,15.5,73,1,2,5.3
15,8,3.18,1.5,3.399,11,73,1,1,6.7
24,4,1.21,1.1,2.66,14,73,1,2,4.2
20,6,1.56,1.22,2.807,13.5,73,1,3,5
11,8,3.5,1.8,3.664,11,73,1,1,9.1
20,6,1.98,0.95,3.102,16.5,74,1,1,5
19,6,2.32,1,2.901,16,74,1,1,5.3
15,6,2.5,1,3.336,17,74,1,1,6.7
31,4,0.79,0.67,1.95,19,74,1,3,3.2
26,4,1.22,0.8,2.451,16.5,74,1,1,3.8
32,4,0.71,0.65,1.836,21,74,1,3,3.1
25,4,1.4,0.75,2.542,17,74,1,1,4
16,6,2.5,1,3.781,17,74,1,1,6.3
16,6,2.58,1.1,3.632,18,74,1,1,6.3
18,6,2.25,1.05,3.613,16.5,74,1,1,5.6
16,8,3.02,1.4,4.141,14,74,1,1,6.3
13,8,3.5,1.5,4.699,14.5,74,1,1,7.7
14,8,3.18,1.5,4.457,13.5,74,1,1,7.1
14,8,3.02,1.4,4.638,16,74,1,1,7.1
14,8,3.04,1.5,4.257,15.5,74,1,1,7.1
29,4,0.98,0.83,2.219,16.5,74,1,2,3.4
26,4,0.79,0.67,1.963,15.5,74,1,2,3.8
26,4,0.97,0.78,2.3,14.5,74,1,2,3.8
31,4,0.76,0.52,1.649,16.5,74,1,3,3.2
32,4,0.83,0.61,2.003,19,74,1,3,3.1
28,4,0.9,0.75,2.125,14.5,74,1,1,3.6
24,4,0.9,0.75,2.108,15.5,74,1,2,4.2
26,4,1.16,0.75,2.246,14,74,1,2,3.8
24,4,1.2,0.97,2.489,15,74,1,3,4.2
26,4,1.08,0.93,2.391,15.5,74,1,3,3.8
31,4,0.79,0.67,2,16,74,1,2,3.2
19,6,2.25,0.95,3.264,16,75,1,1,5.3
18,6,2.5,1.05,3.459,16,75,1,1,5.6
15,6,2.5,0.72,3.432,21,75,1,1,6.7
15,6,2.5,0.72,3.158,19.5,75,1,1,6.7
16,8,4,1.7,4.668,11.5,75,1,1,6.3
15,8,3.5,1.45,4.44,14,75,1,1,6.7
16,8,3.18,1.5,4.498,14.5,75,1,1,6.3
14,8,3.51,1.48,4.657,13.5,75,1,1,7.1
17,6,2.31,1.1,3.907,21,75,1,1,5.9
16,6,2.5,1.05,3.897,18.5,75,1,1,6.3
15,6,2.58,1.1,3.73,19,75,1,1,6.7
18,6,2.25,0.95,3.785,19,75,1,1,5.6
21,6,2.31,1.1,3.039,15,75,1,1,4.8
20,8,2.62,1.1,3.221,13.5,75,1,1,5
13,8,3.02,1.29,3.169,12,75,1,1,7.7
29,4,0.97,0.75,2.171,16,75,1,3,3.4
23,4,1.4,0.83,2.639,17,75,1,1,4.3
20,6,2.32,1,2.914,16,75,1,1,5
23,4,1.4,0.78,2.592,18.5,75,1,1,4.3
24,4,1.34,0.96,2.702,13.5,75,1,3,4.2
25,4,0.9,0.71,2.223,16.5,75,1,2,4
24,4,1.19,0.97,2.545,17,75,1,3,4.2
18,6,1.71,0.97,2.984,14.5,75,1,1,5.6
29,4,0.9,0.7,1.937,14,75,1,2,3.4
19,6,2.32,0.9,3.211,17,75,1,1,5.3
23,4,1.15,0.95,2.694,15,75,1,2,4.3
23,4,1.2,0.88,2.957,17,75,1,2,4.3
22,4,1.21,0.98,2.945,14.5,75,1,2,4.5
25,4,1.21,1.15,2.671,13.5,75,1,2,4
33,4,0.91,0.53,1.795,17.5,75,1,3,3
28,4,1.07,0.86,2.464,15.5,76,1,2,3.6
25,4,1.16,0.81,2.22,16.9,76,1,2,4
25,4,1.4,0.92,2.572,14.9,76,1,1,4
26,4,0.98,0.79,2.255,17.7,76,1,1,3.8
27,4,1.01,0.83,2.202,15.3,76,1,2,3.7
17.5,8,3.05,1.4,4.215,13,76,1,1,5.7
16,8,3.18,1.5,4.19,13,76,1,1,6.3
15.5,8,3.04,1.2,3.962,13.9,76,1,1,6.5
14.5,8,3.51,1.52,4.215,12.8,76,1,1,6.9
22,6,2.25,1,3.233,15.4,76,1,1,4.5
22,6,2.5,1.05,3.353,14.5,76,1,1,4.5
24,6,2,0.81,3.012,17.6,76,1,1,4.2
22.5,6,2.32,0.9,3.085,17.6,76,1,1,4.4
29,4,0.85,0.52,2.035,22.2,76,1,1,3.4
24.5,4,0.98,0.6,2.164,22.1,76,1,1,4.1
29,4,0.9,0.7,1.937,14.2,76,1,2,3.4
33,4,0.91,0.53,1.795,17.4,76,1,3,3
20,6,2.25,1,3.651,17.7,76,1,1,5
18,6,2.5,0.78,3.574,21,76,1,1,5.6
18.5,6,2.5,1.1,3.645,16.2,76,1,1,5.4
17.5,6,2.58,0.95,3.193,17.8,76,1,1,5.7
29.5,4,0.97,0.71,1.825,12.2,76,1,2,3.4
32,4,0.85,0.7,1.99,17,76,1,3,3.1
28,4,0.97,0.75,2.155,16.4,76,1,3,3.6
26.5,4,1.4,0.72,2.565,13.6,76,1,1,3.8
20,4,1.3,1.02,3.15,15.7,76,1,2,5
13,8,3.18,1.5,3.94,13.2,76,1,1,7.7
19,4,1.2,0.88,3.27,21.9,76,1,2,5.3
19,6,1.56,1.08,2.93,15.5,76,1,3,5.3
16.5,6,1.68,1.2,3.82,16.7,76,1,2,6.1
16.5,8,3.5,1.8,4.38,12.1,76,1,1,6.1
13,8,3.5,1.45,4.055,12,76,1,1,7.7
13,8,3.02,1.3,3.87,15,76,1,1,7.7
13,8,3.18,1.5,3.755,14,76,1,1,7.7
31.5,4,0.98,0.68,2.045,18.5,77,1,3,3.2
30,4,1.11,0.8,2.155,14.8,77,1,1,3.3
36,4,0.79,0.58,1.825,18.6,77,1,2,2.8
25.5,4,1.22,0.96,2.3,15.5,77,1,1,3.9
33.5,4,0.85,0.7,1.945,16.8,77,1,3,3
17.5,8,3.05,1.45,3.88,12.5,77,1,1,5.7
17,8,2.6,1.1,4.06,19,77,1,1,5.9
15.5,8,3.18,1.45,4.14,13.7,77,1,1,6.5
15,8,3.02,1.3,4.295,14.9,77,1,1,6.7
17.5,6,2.5,1.1,3.52,16.4,77,1,1,5.7
20.5,6,2.31,1.05,3.425,16.9,77,1,1,4.9
19,6,2.25,1,3.63,17.7,77,1,1,5.3
18.5,6,2.5,0.98,3.525,19,77,1,1,5.4
16,8,4,1.8,4.22,11.1,77,1,1,6.3
15.5,8,3.5,1.7,4.165,11.4,77,1,1,6.5
15.5,8,4,1.9,4.325,12.2,77,1,1,6.5
16,8,3.51,1.49,4.335,14.5,77,1,1,6.3
29,4,0.97,0.78,1.94,14.5,77,1,2,3.4
24.5,4,1.51,0.88,2.74,16,77,1,1,4.1
26,4,0.97,0.75,2.265,18.2,77,1,3,3.8
25.5,4,1.4,0.89,2.755,15.8,77,1,1,3.9
30.5,4,0.98,0.63,2.051,17,77,1,1,3.3
33.5,4,0.98,0.83,2.075,15.9,77,1,1,3
30,4,0.97,0.67,1.985,16.4,77,1,3,3.3
30.5,4,0.97,0.78,2.19,14.1,77,1,2,3.3
22,6,1.46,0.97,2.815,14.5,77,1,3,4.5
21.5,4,1.21,1.1,2.6,12.8,77,1,2,4.7
21.5,3,0.8,1.1,2.72,13.5,77,1,3,4.7
43.1,4,0.9,0.48,1.985,21.5,78,1,2,2.3
36.1,4,0.98,0.66,1.8,14.4,78,1,1,2.8
32.8,4,0.78,0.52,1.985,19.4,78,1,3,3
39.4,4,0.85,0.7,2.07,18.6,78,1,3,2.5
36.1,4,0.91,0.6,1.8,16.4,78,1,3,2.8
19.9,8,2.6,1.1,3.365,15.5,78,1,1,5
19.4,8,3.18,1.4,3.735,13.2,78,1,1,5.2
20.2,8,3.02,1.39,3.57,12.8,78,1,1,5
19.2,6,2.31,1.05,3.535,19.2,78,1,1,5.2
20.5,6,2,0.95,3.155,18.2,78,1,1,4.9
20.2,6,2,0.85,2.965,15.8,78,1,1,5
25.1,4,1.4,0.88,2.72,15.4,78,1,1,4
20.5,6,2.25,1,3.43,17.2,78,1,1,4.9
19.4,6,2.32,0.9,3.21,17.2,78,1,1,5.2
20.6,6,2.31,1.05,3.38,15.8,78,1,1,4.9
20.8,6,2,0.85,3.07,16.7,78,1,1,4.8
18.6,6,2.25,1.1,3.62,18.7,78,1,1,5.4
18.1,6,2.58,1.2,3.41,15.1,78,1,1,5.5
19.2,8,3.05,1.45,3.425,13.2,78,1,1,5.2
17.7,6,2.31,1.65,3.445,13.4,78,1,1,5.6
18.1,8,3.02,1.39,3.205,11.2,78,1,1,5.5
17.5,8,3.18,1.4,4.08,13.7,78,1,1,5.7
30,4,0.98,0.68,2.155,16.5,78,1,1,3.3
27.5,4,1.34,0.95,2.56,14.2,78,1,3,3.6
27.2,4,1.19,0.97,2.3,14.7,78,1,3,3.7
30.9,4,1.05,0.75,2.23,14.5,78,1,1,3.2
21.1,4,1.34,0.95,2.515,14.8,78,1,3,4.7
23.2,4,1.56,1.05,2.745,16.7,78,1,1,4.3
23.8,4,1.51,0.85,2.855,17.6,78,1,1,4.2
23.9,4,1.19,0.97,2.405,14.9,78,1,3,4.2
20.3,5,1.31,1.03,2.83,15.9,78,1,2,4.9
17,6,1.63,1.25,3.14,13.6,78,1,2,5.9
21.6,4,1.21,1.15,2.795,15.7,78,1,2,4.6
16.2,6,1.63,1.33,3.41,15.8,78,1,2,6.2
31.5,4,0.89,0.71,1.99,14.9,78,1,2,3.2
29.5,4,0.98,0.68,2.135,16.6,78,1,3,3.4
21.5,6,2.31,1.15,3.245,15.4,79,1,1,4.7
19.8,6,2,0.85,2.99,18.2,79,1,1,5.1
22.3,4,1.4,0.88,2.89,17.3,79,1,1,4.5
20.2,6,2.32,0.9,3.265,18.2,79,1,1,5
20.6,6,2.25,1.1,3.36,16.6,79,1,1,4.9
17,8,3.05,1.3,3.84,15.4,79,1,1,5.9
17.6,8,3.02,1.29,3.725,13.4,79,1,1,5.7
16.5,8,3.51,1.38,3.955,13.2,79,1,1,6.1
18.2,8,3.18,1.35,3.83,15.2,79,1,1,5.5
16.9,8,3.5,1.55,4.36,14.9,79,1,1,5.9
15.5,8,3.51,1.42,4.054,14.3,79,1,1,6.5
19.2,8,2.67,1.25,3.605,15,79,1,1,5.2
18.5,8,3.6,1.5,3.94,13,79,1,1,5.4
31.9,4,0.89,0.71,1.925,14,79,1,2,3.1
34.1,4,0.86,0.65,1.975,15.2,79,1,3,2.9
35.7,4,0.98,0.8,1.915,14.4,79,1,1,2.8
27.4,4,1.21,0.8,2.67,15,79,1,1,3.6
25.4,5,1.83,0.77,3.53,20.1,79,1,2,3.9
23,8,3.5,1.25,3.9,17.4,79,1,1,4.3
27.2,4,1.41,0.71,3.19,24.8,79,1,2,3.7
23.9,8,2.6,0.9,3.42,22.2,79,1,1,4.2
34.2,4,1.05,0.7,2.2,13.2,79,1,1,2.9
34.5,4,1.05,0.7,2.15,14.9,79,1,1,2.9
31.8,4,0.85,0.65,2.02,19.2,79,1,3,3.1
37.3,4,0.91,0.69,2.13,14.7,79,1,2,2.7
28.4,4,1.51,0.9,2.67,16,79,1,1,3.5
28.8,6,1.73,1.15,2.595,11.3,79,1,1,3.5
26.8,6,1.73,1.15,2.7,12.9,79,1,1,3.7
33.5,4,1.51,0.9,2.556,13.2,79,1,1,3
41.5,4,0.98,0.76,2.144,14.7,80,1,2,2.4
38.1,4,0.89,0.6,1.968,18.8,80,1,3,2.6
32.1,4,0.98,0.7,2.12,15.5,80,1,1,3.1
37.2,4,0.86,0.65,2.019,16.4,80,1,3,2.7
28,4,1.51,0.9,2.678,16.5,80,1,1,3.6
26.4,4,1.4,0.88,2.87,18.1,80,1,1,3.8
24.3,4,1.51,0.9,3.003,20.1,80,1,1,4.1
19.1,6,2.25,0.9,3.381,18.7,80,1,1,5.2
34.3,4,0.97,0.78,2.188,15.8,80,1,2,2.9
29.8,4,1.34,0.9,2.711,15.5,80,1,3,3.4
31.3,4,1.2,0.75,2.542,17.5,80,1,3,3.2
37,4,1.19,0.92,2.434,15,80,1,3,2.7
32.2,4,1.08,0.75,2.265,15.2,80,1,3,3.1
46.6,4,0.86,0.65,2.11,17.9,80,1,3,2.1
27.9,4,1.56,1.05,2.8,14.4,80,1,1,3.6
40.8,4,0.85,0.65,2.11,19.2,80,1,3,2.5
44.3,4,0.9,0.48,2.085,21.7,80,1,2,2.3
43.4,4,0.9,0.48,2.335,23.7,80,1,2,2.3
36.4,5,1.21,0.67,2.95,19.9,80,1,2,2.7
30,4,1.46,0.67,3.25,21.8,80,1,2,3.3
44.6,4,0.91,0.67,1.85,13.8,80,1,3,2.2
33.8,4,0.97,0.67,2.145,18,80,1,3,3
29.8,4,0.89,0.62,1.845,15.3,80,1,2,3.4
32.7,6,1.68,1.32,2.91,11.4,80,1,3,3.1
23.7,3,0.7,1,2.42,12.5,80,1,3,4.2
35,4,1.22,0.88,2.5,15.1,80,1,2,2.9
32.4,4,1.07,0.72,2.29,17,80,1,3,3.1
27.2,4,1.35,0.84,2.49,15.7,81,1,1,3.7
26.6,4,1.51,0.84,2.635,16.4,81,1,1,3.8
25.8,4,1.56,0.92,2.62,14.4,81,1,1,3.9
23.5,6,1.73,1.1,2.725,12.6,81,1,1,4.3
30,4,1.35,0.84,2.385,12.9,81,1,1,3.3
39.1,4,0.79,0.58,1.755,16.9,81,1,3,2.6
39,4,0.86,0.64,1.875,16.4,81,1,1,2.6
35.1,4,0.81,0.6,1.76,16.1,81,1,3,2.8
32.3,4,0.97,0.67,2.065,17.8,81,1,3,3.1
37,4,0.85,0.65,1.975,19.4,81,1,3,2.7
37.7,4,0.89,0.62,2.05,17.3,81,1,3,2.7
34.1,4,0.91,0.68,1.985,16,81,1,3,2.9
34.7,4,1.05,0.63,2.215,14.9,81,1,1,2.9
34.4,4,0.98,0.65,2.045,16.2,81,1,1,2.9
29.9,4,0.98,0.65,2.38,20.7,81,1,1,3.3
33,4,1.05,0.74,2.19,14.2,81,1,2,3
33.7,4,1.07,0.75,2.21,14.4,81,1,3,3
32.4,4,1.08,0.75,2.35,16.8,81,1,3,3.1
32.9,4,1.19,1,2.615,14.8,81,1,3,3
31.6,4,1.2,0.74,2.635,18.3,81,1,3,3.2
28.1,4,1.41,0.8,3.23,20.4,81,1,2,3.6
30.7,6,1.45,0.76,3.16,19.6,81,1,2,3.3
25.4,6,1.68,1.16,2.9,12.6,81,1,3,3.9
24.2,6,1.46,1.2,2.93,13.8,81,1,3,4.1
22.4,6,2.31,1.1,3.415,15.8,81,1,1,4.5
26.6,8,3.5,1.05,3.725,19,81,1,1,3.8
20.2,6,2,0.88,3.06,17.1,81,1,1,5
17.6,6,2.25,0.85,3.465,16.6,81,1,1,5.7
28,4,1.12,0.88,2.605,19.6,82,0,1,3.6
27,4,1.12,0.88,2.64,18.6,82,0,1,3.7
34,4,1.12,0.88,2.395,18,82,0,1,2.9
31,4,1.12,0.85,2.575,16.2,82,0,1,3.2
29,4,1.35,0.84,2.525,16,82,0,1,3.4
27,4,1.51,0.9,2.735,18,82,0,1,3.7
24,4,1.4,0.92,2.865,16.4,82,0,1,4.2
36,4,1.05,0.74,1.98,15.3,82,0,2,2.8
37,4,0.91,0.68,2.025,18.2,82,0,3,2.7
31,4,0.91,0.68,1.97,17.6,82,0,3,3.2
38,4,1.05,0.63,2.125,14.7,82,0,1,2.6
36,4,0.98,0.7,2.125,17.3,82,0,1,2.8
36,4,1.2,0.88,2.16,14.5,82,0,3,2.8
36,4,1.07,0.75,2.205,14.5,82,0,3,2.8
34,4,1.08,0.7,2.245,16.9,82,0,3,2.9
38,4,0.91,0.67,1.965,15,82,0,3,2.6
32,4,0.91,0.67,1.965,15.7,82,0,3,3.1
38,4,0.91,0.67,1.995,16.2,82,0,3,2.6
25,6,1.81,1.1,2.945,16.4,82,0,1,4
38,6,2.62,0.85,3.015,17,82,0,1,2.6
26,4,1.56,0.92,2.585,14.5,82,0,1,3.8
22,6,2.32,1.12,2.835,14.7,82,0,1,4.5
32,4,1.44,0.96,2.665,13.9,82,0,3,3.1
36,4,1.35,0.84,2.37,13,82,0,1,2.8
27,4,1.51,0.9,2.95,17.3,82,0,1,3.7
27,4,1.4,0.86,2.79,15.6,82,0,1,3.7
44,4,0.97,0.52,2.13,24.6,82,0,2,2.3
32,4,1.35,0.84,2.295,11.6,82,0,1,3.1
28,4,1.2,0.79,2.625,18.6,82,0,1,3.6
31,4,1.19,0.82,2.72,19.4,82,0,1,3.2
